X,Y,SP_ID,id,latitude,longitude
93.585368242862813,23.695995810590993,2672,2672,23.6959958000,93.5853682000
93.995405142675708,23.637672916459618,2673,2673,23.6376729000,93.9954051000
95.338354399485567,23.16907637563861,2674,2674,23.1690763000,95.3383543000
95.993143346652388,23.573751830973254,2675,2675,23.5737518000,95.9931433000
97.047965133430992,23.699184499884161,2676,2676,23.6991844000,97.0479651000
97.782241836966847,23.454262088987274,2677,2677,23.4542620000,97.7822418000
102.489785591251177,23.149821463524265,2678,2678,23.1498214000,102.4897850000
103.200346439258595,23.617143598071312,2679,2679,23.6171435000,103.2003460000
104.425158111063922,23.426221630180287,2680,2680,23.4262216000,104.4251580000
104.919357714298727,23.641129523301149,2681,2681,23.6411295000,104.9193570000
105.922403918920622,23.392868164416083,2682,2682,23.3928681000,105.9224030000
106.753688941523322,23.370313509448664,2683,2683,23.3703135000,106.7536880000
107.296834228523792,23.790618446691553,2684,2684,23.7906184000,107.2968340000
108.361496851927527,23.788304748151091,2685,2685,23.7883047000,108.3614960000
109.323436604526279,23.550173365534576,2686,2686,23.5501733000,109.3234360000
109.769650519884109,23.380922121667915,2687,2687,23.3809221000,109.7696500000
110.333139229937387,23.617753733503044,2688,2688,23.6177537000,110.3331390000
111.569295867535459,23.84982432948004,2689,2689,23.8498243000,111.5692950000
112.025743124745091,22.999690044063815,2690,2690,22.9996900000,112.0257430000
115.002023755356504,23.112941270477947,2691,2691,23.1129412000,115.0020230000
115.171663286037216,23.523538836840697,2692,2692,23.5235388000,115.1716630000
116.117748160996271,23.10119455806543,2693,2693,23.1011945000,116.1177480000
120.172071985737361,23.262059416593047,2694,2694,23.2620594000,120.1720710000
120.948436112804742,23.854068399831174,2695,2695,23.8540683000,120.9484360000
-13.220534523549716,24.017718061323897,2696,2696,24.0177180000,-13.2205340000
-12.583084573032856,24.466224453431671,2697,2697,24.4662244000,-12.5830840000
-11.656359281266383,24.408257268993804,2698,2698,24.4082572000,-11.6563590000
-10.666386347838358,24.203678262842896,2699,2699,24.2036782000,-10.6663860000
-10.072493890510684,24.653998598291786,2700,2700,24.6539985000,-10.0724930000
-9.054906475038724,24.138247272239774,2701,2701,24.1382472000,-9.0549064000
-8.22432819023596,24.022221488430514,2702,2702,24.0222214000,-8.2243281000
-7.738258959996065,23.88394269681617,2703,2703,23.8839426000,-7.7382589000
-2.96815047123805,24.372473948271548,2704,2704,24.3724739000,-2.9681504000
-1.400524529846739,23.975637243809345,2705,2705,23.9756372000,-1.4005245000
-0.806822253029478,24.646560308695751,2706,2706,24.6465603000,-0.8068222000
-0.356759607752571,24.533369680844913,2707,2707,24.5333696000,-0.3567596000
0.864415711439718,24.681914548975158,2708,2708,24.6819145000,0.8644157100
1.763084830217806,24.396720135929638,2709,2709,24.3967201000,1.7630848300
2.651395513977464,24.074039818507092,2710,2710,24.0740398000,2.6513955100
3.396904943342035,24.603686371445022,2711,2711,24.6036863000,3.3969049400
3.744331194171141,24.61385137187996,2712,2712,24.6138513000,3.7443311900
4.699477675282394,23.914361691504443,2713,2713,23.9143616000,4.6994776700
5.518835278924239,24.568206443258862,2714,2714,24.5682064000,5.5188352700
6.619651615433411,24.637747950728031,2715,2715,24.6377479000,6.6196516100
7.429866528931424,24.370469364849768,2716,2716,24.3704693000,7.4298665200
7.701044158996869,24.086873444361959,2717,2717,24.0868734000,7.7010441500
8.674645083223334,24.554715527869394,2718,2718,24.5547155000,8.6746450800
9.151066013897671,24.710218205984969,2719,2719,24.7102182000,9.1510660100
10.662183357578936,23.95571714219799,2720,2720,23.9557171000,10.6621833000
11.168404160229498,24.043974262961051,2721,2721,24.0439742000,11.1684041000
11.591397427848975,23.966599540659043,2722,2722,23.9665995000,11.5913974000
12.69812051389845,24.276423072293973,2723,2723,24.2764230000,12.6981205000
13.950892568283775,24.33455931942235,2724,2724,24.3345593000,13.9508925000
14.241018273392424,24.132042379641963,2725,2725,24.1320423000,14.2410182000
15.424032006334372,24.37012813204997,2726,2726,24.3701281000,15.4240320000
15.702064177222676,23.947483924881155,2727,2727,23.9474839000,15.7020641000
17.092559004569466,24.701781991459246,2728,2728,24.7017819000,17.0925590000
17.45207808833673,24.016222116543137,2729,2729,24.0162221000,17.4520780000
18.300494062163843,23.952764377787549,2730,2730,23.9527643000,18.3004940000
19.020347852145733,23.942518076427408,2731,2731,23.9425180000,19.0203478000
27.721910962194624,24.346316826063937,2732,2732,24.3463168000,27.7219109000
28.481955362935722,24.679556650288102,2733,2733,24.6795566000,28.4819553000
29.167510053910696,23.887379919769025,2734,2734,23.8873799000,29.1675100000
29.812151015826853,24.610612493182117,2735,2735,24.6106124000,29.8121510000
30.878236421355091,23.879133217134161,2736,2736,23.8791332000,30.8782364000
31.00527823910085,24.163053695396549,2737,2737,24.1630536000,31.0052782000
32.018252852940478,23.938362591580518,2738,2738,23.9383625000,32.0182528000
33.035077279575248,24.469692967785289,2739,2739,24.4696929000,33.0350772000
33.643165925748427,24.549984876265341,2740,2740,24.5499848000,33.6431659000
70.047155941497351,24.464417560938486,2741,2741,24.4644175000,70.0471559000
70.89999120088703,23.947855511644857,2742,2742,23.9478555000,70.8999912000
71.378928553416671,24.41069782995309,2743,2743,24.4106978000,71.3789285000
72.334961909280281,24.758622607285268,2744,2744,24.7586226000,72.3349619000
73.049825126291566,23.906301696374687,2745,2745,23.9063016000,73.0498251000
74.791762192546187,24.164534875163003,2746,2746,24.1645348000,74.7917621000
76.208576003945097,23.961427662645388,2747,2747,23.9614276000,76.2085760000
76.930766749818005,24.50210642852031,2748,2748,24.5021064000,76.9307667000
77.034954400839965,23.988553948049944,2749,2749,23.9885539000,77.0349544000
78.509987310647006,24.454210545046887,2750,2750,24.4542105000,78.5099873000
78.75756516385421,24.343293147377853,2751,2751,24.3432931000,78.7575651000
79.777775472643157,24.723661846951209,2752,2752,24.7236618000,79.7777754000
80.938913711586807,24.387424988009229,2753,2753,24.3874249000,80.9389137000
81.087773339058586,24.42671366598459,2754,2754,24.4267136000,81.0877733000
83.691157381475534,24.708188606642636,2755,2755,24.7081886000,83.6911573000
84.374093378924059,23.893754857216745,2756,2756,23.8937548000,84.3740933000
85.661191489250868,24.578025462005108,2757,2757,24.5780254000,85.6611914000
85.910879349538874,24.076197604073801,2758,2758,24.0761976000,85.9108793000
87.353295718694923,24.672653754176761,2759,2759,24.6726537000,87.3532957000
87.787766825987717,24.344804638826016,2760,2760,24.3448046000,87.7877668000
88.784632572898772,24.756084974607422,2761,2761,24.7560849000,88.7846325000
89.687625106297389,24.335488531664339,2762,2762,24.3354885000,89.6876251000
90.351328965753169,24.487828696822515,2763,2763,24.4878286000,90.3513289000
91.021741161391645,24.236285131004976,2764,2764,24.2362851000,91.0217411000
92.366306546484921,24.090949840891682,2765,2765,24.0909498000,92.3663065000
92.425303653437894,24.621913627309468,2766,2766,24.6219136000,92.4253036000
93.299426483393091,24.610963505438246,2767,2767,24.6109635000,93.2994264000
94.394243934448568,24.23644237432346,2768,2768,24.2364423000,94.3942439000
95.349996424057863,23.992148771068795,2769,2769,23.9921487000,95.3499964000
96.409605076659844,24.238978807266022,2770,2770,24.2389788000,96.4096050000
96.556263025522853,24.375418520805599,2771,2771,24.3754185000,96.5562630000
97.570521230797794,24.269184517256395,2772,2772,24.2691845000,97.5705212000
98.364758334913844,24.169464418004889,2773,2773,24.1694644000,98.3647583000
102.944902736631491,24.043655987316814,2774,2774,24.0436559000,102.9449020000
104.448618970633376,23.962883509777999,2775,2775,23.9628835000,104.4486180000
104.905723347338892,24.4456932733531,2776,2776,24.4456932000,104.9057230000
105.857176416264949,24.166954706610994,2777,2777,24.1669547000,105.8571760000
106.18483696416591,24.114004312021759,2778,2778,24.1140043000,106.1848360000
107.329984527165081,24.212890145759051,2779,2779,24.2128901000,107.3299840000
108.475198881697395,24.083032760515216,2780,2780,24.0830327000,108.4751980000
108.800224610532425,24.759450525057353,2781,2781,24.7594505000,108.8002240000
109.501805408667565,24.288614094295397,2782,2782,24.2886140000,109.5018050000
110.86314015676443,24.216938530118757,2783,2783,24.2169385000,110.8631400000
111.34013802706481,24.145501666269109,2784,2784,24.1455016000,111.3401380000
112.550665189297263,24.052103886522033,2785,2785,24.0521038000,112.5506650000
112.644095504801783,23.942628126919089,2786,2786,23.9426281000,112.6440950000
113.916416248857672,23.987668864880114,2787,2787,23.9876688000,113.9164160000
114.763643678603557,24.23216392412197,2788,2788,24.2321639000,114.7636430000
115.563217058655368,24.390780501633035,2789,2789,24.3907805000,115.5632170000
116.576026252308125,24.405089573421286,2790,2790,24.4050895000,116.5760260000
117.325002306867731,24.615238243533042,2791,2791,24.6152382000,117.3250020000
117.777991782715091,24.123119783807997,2792,2792,24.1231197000,117.7779910000
121.171775720340122,24.002776757172001,2793,2793,24.0027767000,121.1717750000
121.727230295634101,24.385649635076106,2794,2794,24.3856496000,121.7272300000
-3.417851479936166,25.384527117303705,2795,2795,25.3845271000,-3.4178514000
-2.833259925744928,24.803391331991893,2796,2796,24.8033913000,-2.8332599000
-1.926892122189657,25.546779823478303,2797,2797,25.5467798000,-1.9268921000
-1.248701928204718,25.46798566810412,2798,2798,25.4679856000,-1.2487019000
0.092930749434018,25.376313630466701,2799,2799,25.3763136000,0.0929307400
0.305176351234784,24.789471955640551,2800,2800,24.7894719000,0.3051763500
1.060999192246096,25.513007151578766,2801,2801,25.5130071000,1.0609991900
2.513581799370974,25.154519325031249,2802,2802,25.1545193000,2.5135817900
2.980091881107266,24.996290076275027,2803,2803,24.9962900000,2.9800918800
3.563352790780768,25.462369442319464,2804,2804,25.4623694000,3.5633527900
4.467025973227242,25.254114781924933,2805,2805,25.2541147000,4.4670259700
5.103579134701588,25.075317420517365,2806,2806,25.0753174000,5.1035791300
5.947935103183961,25.044263240379685,2807,2807,25.0442632000,5.9479351000
7.218399616259645,24.799435908565993,2808,2808,24.7994359000,7.2183996100
7.926009222602787,25.30308793248901,2809,2809,25.3030879000,7.9260092200
8.78861247408023,25.571018208603679,2810,2810,25.5710182000,8.7886124700
9.227707704564144,25.24007196611613,2811,2811,25.2400719000,9.2277077000
10.39349920500303,25.153793314552733,2812,2812,25.1537933000,10.3934992000
11.437779744890486,24.946423652974186,2813,2813,24.9464236000,11.4377797000
11.755185075902194,24.817477125803084,2814,2814,24.8174771000,11.7551850000
13.033055037876156,25.289341905443571,2815,2815,25.2893419000,13.0330550000
13.538610204412549,25.167224046147961,2816,2816,25.1672240000,13.5386102000
14.136568937793536,24.82249344119786,2817,2817,24.8224934000,14.1365689000
15.359573718629793,25.231704883309728,2818,2818,25.2317048000,15.3595737000
16.189907769624689,25.424588201927101,2819,2819,25.4245882000,16.1899077000
16.943103690826465,24.933896246275062,2820,2820,24.9338962000,16.9431036000
17.329626281021856,25.306871192423731,2821,2821,25.3068711000,17.3296262000
18.557992977401643,25.056316788783175,2822,2822,25.0563167000,18.5579929000
19.618707519311336,25.286988413474219,2823,2823,25.2869884000,19.6187075000
20.326863271144965,25.421984292441572,2824,2824,25.4219842000,20.3268632000
25.926780558988465,25.038740426833815,2825,2825,25.0387404000,25.9267805000
26.316566772653399,25.101512572758477,2826,2826,25.1015125000,26.3165667000
26.950414710994171,25.140298189495649,2827,2827,25.1402981000,26.9504147000
28.044706431266363,24.966595647359284,2828,2828,24.9665956000,28.0447064000
29.119871537608343,25.113780064019554,2829,2829,25.1137800000,29.1198715000
29.612363332564467,24.907076569204449,2830,2830,24.9070765000,29.6123633000
30.349919031517871,24.985244495163936,2831,2831,24.9852444000,30.3499190000
31.474348219743568,25.311024358354693,2832,2832,25.3110243000,31.4743482000
32.478096355738458,24.843374888897518,2833,2833,24.8433748000,32.4780963000
32.646985005660675,25.455623965030224,2834,2834,25.4556239000,32.6469850000
34.099327082771339,25.026259160745049,2835,2835,25.0262591000,34.0993270000
38.208323230961362,25.620355855383764,2836,2836,25.6203558000,38.2083232000
61.092102341655909,25.348414195955005,2837,2837,25.3484141000,61.0921023000
62.395275776095644,25.503798187439312,2838,2838,25.5037981000,62.3952757000
62.652626133531136,25.336654321986373,2839,2839,25.3366543000,62.6526261000
63.300130577108817,25.430834706883562,2840,2840,25.4308347000,63.3001305000
70.338953650354071,24.942541005644312,2841,2841,24.9425410000,70.3389536000
71.083550630651061,25.012617613321279,2842,2842,25.0126176000,71.0835506000
71.568467790822993,25.411755535863072,2843,2843,25.4117555000,71.5684677000
72.681295841468526,25.358223056713122,2844,2844,25.3582230000,72.6812958000
73.408222662795779,25.423982720877888,2845,2845,25.4239827000,73.4082226000
74.374822582647397,25.543499218347435,2846,2846,25.5434992000,74.3748225000
75.0525962626037,25.164001043195967,2847,2847,25.1640010000,75.0525962000
75.736996408230993,25.237038130591454,2848,2848,25.2370381000,75.7369964000
76.916763195688333,25.547205543083418,2849,2849,25.5472055000,76.9167631000
77.456876251866959,24.807390297791464,2850,2850,24.8073902000,77.4568762000
78.145042812838,24.860520556138425,2851,2851,24.8605205000,78.1450428000
78.955832165468479,24.945687453454507,2852,2852,24.9456874000,78.9558321000
79.567761601661303,25.443197526624605,2853,2853,25.4431975000,79.5677616000
80.671120765267474,24.779641354668392,2854,2854,24.7796413000,80.6711207000
81.253900002443103,25.240052182439836,2855,2855,25.2400521000,81.2539000000
82.589559253599717,25.186635567518262,2856,2856,25.1866355000,82.5895592000
82.783479399478082,25.340387746507162,2857,2857,25.3403877000,82.7834793000
83.789766612676402,25.011099727233095,2858,2858,25.0110997000,83.7897666000
84.311497230695323,25.296745230519427,2859,2859,25.2967452000,84.3114972000
85.789418371385977,25.209022469175636,2860,2860,25.2090224000,85.7894183000
86.323524741075374,25.51029853695767,2861,2861,25.5102985000,86.3235247000
86.778462407508059,25.055136464981231,2862,2862,25.0551364000,86.7784624000
88.010186918947753,25.060477858811041,2863,2863,25.0604778000,88.0101869000
88.580228099143852,25.43271077400081,2864,2864,25.4327107000,88.5802280000
89.508495438427929,25.327660757009173,2865,2865,25.3276607000,89.5084954000
90.654890874698808,25.32548306019871,2866,2866,25.3254830000,90.6548908000
91.431246594470849,24.929833713624696,2867,2867,24.9298337000,91.4312465000
