id,gef_id,longitude,latitude,project_location_id
64,3379,-10.589831,20.153789,906001152905_2378080
65,2504,74.910168,41.380067,906001152907_1527747
66,2504,63.743498,41.546433,906001152907_1512440
67,2504,59.576838,39.633113,906001152907_1218197
68,2504,67.910168,47.866013,906001152907_1522867
69,2504,70.910168,38.884338,906001152907_1220409
70,2505,-65.089831,-17.094484,906001152909_3923057
71,2505,-64.089831,-34.108698,906001152909_3865483
72,2505,-58.089831,-23.43165,906001152909_3437598
73,3456,-70.756501,18.904514,906001152915_3508796
74,2517,-80.089831,8.908477,906001152917_3703430
75,2517,-84.089831,9.908218,906001152917_3624060
76,2549,12.410168,5.909086,906001152919_2233387
77,2726,25.160168,42.544551,906001152929_732800
78,3450,52.910168,31.893819,906001152931_130758
79,2739,24.910168,56.83587,906001152933_458258
80,3232,63.743498,41.546433,906001152935_1512440
81,2751,103.710168,1.27621,906001152939_1880251
82,2751,119.910168,-5.090779,906001152939_1643084
83,2751,112.410168,2.409482,906001152939_1733045
84,2751,107.743498,16.072629,906001152939_1562822
85,2751,114.576838,4.409296,906001152939_1820814
86,2751,100.910168,15.40626,906001152939_1605651
87,5767,121.910168,12.907264,906001152943_1694008
88,5797,83.910168,27.897923,906001152949_1282988
89,5797,-75.339831,-10.091807,906001152949_3932488
90,5797,-78.339831,-1.340459,906001152949_3658394
91,5797,32.410168,1.159544,906001152949_226074
92,5797,23.410168,-2.590524,906001152949_203312
93,5797,119.910168,-5.090779,906001152949_1643084
94,3822,23.410168,-2.590524,906001152953_203312
95,3822,12.410168,5.909086,906001152953_2233387
96,3822,11.660168,-1.090452,906001152953_2400553
97,3822,10.410168,1.609526,906001152953_2309096
98,3822,15.410168,-1.090452,906001152953_2260494
99,3822,20.910168,6.908911,906001152953_239880
100,3028,35.743498,33.724975,906001152959_272103
101,5775,78.910168,21.902676,906001152961_1269750
102,5775,119.910168,-5.090779,906001152961_1643084
103,5775,37.910168,0.909551,906001152961_192950
104,5775,8.910168,17.905055,906001152961_2440476
