"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"120","udel_precip_v4_01_yearly_max.2002.mean",62,62,26260732.7813771,-147.783769685081,0.00737989286336339,4,5
"240","dist_to_all_rivers.na.mean",39,39,5276089.29780888,-69.2991297711798,0.0029256983078551,4,5
"480","udel_air_temp_v4_01_yearly_max.2002.mean",32,32,1724457.90734188,-3.24372551155484,0.00061281843375617,4,1
"960","dist_to_all_rivers.na.mean",28,28,1253508.98039648,-37.7330773185366,0.000472453730550108,4,3
"1920","dist_to_all_rivers.na.mean",21,21,689913.874909268,-82.9917898923157,0.000380171739833709,4,5
"3840","<leaf>",13,13,268442.787690848,-3.12118413345387,0.000110167648147291,0,0
"3841","<leaf>",8,8,205114.842740399,-242.440655770527,0.000205968402916934,0,0
"1921","gpw_v3_density.2000.mean",7,7,294721.056942305,94.1092272817414,0.000239799230580471,4,5
"3842","<leaf>",3,3,138825.757225659,223.58246089309,0,0,0
"3843","<leaf>",4,4,19425.2375815612,0.425464449037552,0,0,0
"961","<leaf>",4,4,122193.138489415,199.075121277703,0,0,0
"481","latitude",7,7,1886612.57912635,-256.22201972913,0.00137991967299238,4,5
"962","<leaf>",3,3,894677.594678426,-364.757891168708,0,0,0
"963","<leaf>",4,4,206620.857047075,-166.784542302907,0,0,0
"241","wdpa_5km.na.sum",23,23,15937024.7900634,-435.695414779324,0.00737989286336339,4,5
"482","<leaf>",13,13,691801.84657187,-27.4008343355166,0,0,0
"483","dist_to_all_rivers.na.mean",10,10,6468312.92615002,-565.431569214987,0.00490515716081013,4,5
"966","<leaf>",2,2,57064.7154939928,-346.7641935411,0,0,0
"967","<leaf>",8,8,3619716.72451358,-609.807334019803,0,0,0
"121","latitude",103,103,16741165.1791275,9.06627127998595,0.00418805986973248,4,5
"242","latitude",21,21,2366590.74794849,-122.984146910728,0.00172367695685522,4,5
"484","<leaf>",15,15,956446.643203817,-234.799116513933,0,0,0
"485","dist_to_roads.na.mean",6,6,429197.248353871,-17.1047398314929,0.000343573885157392,4,5
"970","<leaf>",2,2,93309.2303684743,-72.9129928897,0,0,0
"971","<leaf>",4,4,140359.661443454,67.9661209461398,0,0,0
"243","longitude",82,82,11991143.9703541,35.4241214801177,0.00259437910723924,4,5
"486","dist_to_roads.na.mean",60,60,7025331.01060999,-2.96695570834093,0.00140735089755773,4,5
"972","udel_air_temp_v4_01_yearly_min.2002.mean",46,46,5134196.43143729,-56.4257331280002,0.00140735089755773,4,5
"1944","srtm_slope_500m.na.mean",26,26,3568588.11214745,-150.281135703191,0.00140735089755773,4,5
"3888","udel_air_temp_v4_01_yearly_mean.2002.mean",18,18,587441.24306651,-110.193494717382,0.000361081370352206,4,5
"7776","<leaf>",8,8,169573.193191435,-24.8539568061134,0.000203613433047022,0,0
"7777","<leaf>",10,10,212376.160145049,-193.456057716588,0.000219045996217715,0,0
"3889","ltdr_yearly_ndvi_mean.2002.mean",8,8,1847520.07166096,-311.105499526853,0.00140735089755773,4,5
"7778","wdpa_5km.na.sum",5,5,190162.985294663,-244.063747928508,0.000288810631907987,4,5
"15556","<leaf>",3,3,23626.0459722514,-325.353017166774,0,0,0
"15557","<leaf>",2,2,2174.42328619003,-87.8687334205,0,0,0
"7779","<leaf>",3,3,741031.594926979,-415.451515430184,0,0,0
"1945","udel_air_temp_v4_01_yearly_min.2002.mean",20,20,777836.432468053,36.9871248619079,0.000376739147577545,4,5
"3890","udel_air_temp_v4_01_yearly_mean.2002.mean",9,9,360823.900046297,-15.6946039866003,0.000288335846168121,4,1
"7780","<leaf>",2,2,121327.8912096,-179.4149435518,0,0,0
"7781","<leaf>",7,7,75403.6939986342,11.7702020386873,8.91435035762737e-05,0,0
"3891","<leaf>",11,11,202609.780777507,116.896773474207,0.0001232621682602,0,0
"973","udel_air_temp_v4_01_yearly_min.2002.mean",14,14,1409757.44169072,142.196514333456,0.00139700342537881,4,5
"1946","<leaf>",6,6,250044.467226315,-12.7339713054689,2.06264919592933e-05,0,0
"1947","<leaf>",8,8,364676.460782202,233.548803291188,0,0,0
"487","accessibility_map.na.mean",22,22,3758699.17520066,137.640516098244,0.00259437910723924,4,5
"974","latitude",12,12,480842.695250461,-46.2534436379596,0.000308341684641471,4,4
"1948","udel_air_temp_v4_01_yearly_mean.2002.mean",9,9,236761.44020307,-151.592068582829,0.000214503451039738,4,5
"3896","<leaf>",5,5,83935.7403173033,-241.46185157116,0,0,0
"3897","<leaf>",4,4,30751.4996444953,1.53407647086712,0,0,0
"1949","<leaf>",3,3,68603.5908363804,185.007976853606,0,0,0
"975","treecover2000.na.mean",10,10,1532041.04024339,377.659303665327,0.000875237537731823,4,5
"1950","<leaf>",7,7,979356.499882604,581.121573901077,0,0,0
"1951","<leaf>",3,3,54585.6896343263,115.074279682527,0,0,0
"61","srtm_elevation_500m.na.mean",40,40,2211145.06146667,100.004935116888,0.00114246270407654,4,5
"122","srtm_slope_500m.na.mean",30,30,1147979.82200354,36.9367867333524,0.000460675095481671,4,2
"244","<leaf>",4,4,144578.073034357,191.097972301061,0,0,0
"245","dist_to_all_rivers.na.mean",26,26,741230.937360293,9.57213675177004,0.000390737869905588,4,5
"490","<leaf>",7,7,87078.8263595572,-97.9034618305608,4.07555324741698e-05,0,0
"491","dist_to_all_rivers.na.mean",19,19,449014.220165459,42.0730702460214,0.000390737869905588,4,5
"982","<leaf>",6,6,27458.9933558065,-144.23120813831,0,0,0
"983","<leaf>",13,13,181954.231240104,97.7100046431143,9.41228765106568e-05,0,0
"123","udel_air_temp_v4_01_yearly_max.2002.mean",10,10,412988.189958279,268.851229928876,0.000296175285476712,4,5
"246","<leaf>",7,7,226064.454993167,377.31457673765,0.00014433645273496,0,0
"247","<leaf>",3,3,18369.9847548094,192.56272749284,0,0,0
"31","ltdr_yearly_ndvi_mean.2002.mean",38,38,7890985.05632565,255.536558779074,0.00364994857097923,4,5
"62","longitude",26,26,1832167.37286666,-1.37516775461149,0.00138968123030586,4,3
"124","<leaf>",3,3,165374.31238142,-438.987524856859,0,0,0
"125","latitude",23,23,875923.617790512,28.0319979644893,0.000332141683480262,4,5
"250","<leaf>",7,7,47064.8260195749,-46.6640927820136,5.6494089307426e-05,0,0
"251","srtm_elevation_500m.na.mean",16,16,639836.516459706,119.678372707377,0.000319996528549765,4,5
"502","<leaf>",5,5,35126.782560362,266.333925334426,0,0,0
"503","<leaf>",11,11,422599.282466752,5.99632406744971,0,0,0
"63","udel_air_temp_v4_01_yearly_min.2002.mean",12,12,3981627.08086342,442.837265221923,0.00196754876765738,4,5
"126","treecover2000.na.mean",7,7,768396.431734956,240.317956993416,0.000946834328509528,4,5
"252","<leaf>",4,4,84091.2805162006,21.3212775890727,0,0,0
"253","<leaf>",3,3,145460.471314891,406.144940969834,0,0,0
"127","<leaf>",5,5,2093496.01976357,697.844678096668,0,0,0
