"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"RuNVn7UhS98UvK2Jid4qjW","906001152917","","2008","D","USD","3584596.47685"
"n8apGwU48Rm9CFB5tkWgSJ","906001152919","","2006","D","USD","6950075.29248"
"o7hNzSAv564BehsbmrfNuj","906001152921","","2008","D","USD","2560426.0549"
"eNNnuBi7bRkPMZqTBXocvJ","906001152923","","2010","D","USD","6752933.78039"
"hxfPmmSgLaSd3d3HDDNLpV","906001152927","","2010","D","USD","10190695.7251"
"Z4mWKhVgbz4SPPiMjDhAZG","906001152931","","2011","D","USD","2632757.7701"
"5yNKUbxzLHZQUdiUnVKHFK","906001152935","","2008","D","USD","3072511.26587"
"FCFWmrqPntkusNSN7kJNiU","906001152939","","2010","D","USD","4504572.50629"
"RQn8JUHZN3ojijPNDYzQwB","906001152945","","2011","D","USD","4341391.21855"
"9q3yxw7chynHpESSQuGEp9","906001152951","","2007","D","USD","6668100.66681"
"QWAUvovSnufc5jyMjA7fNE","906001152953","","2011","D","USD","3034712.38283"
"VsF2B4pSUjTdn3QBcUcFCU","906001152955","","2009","D","USD","6721346.1742"
"9G2KaHxkjm4VTYJ3zXSNJg","906001152977","","2007","D","USD","3226500.32265"
"noPDymj3JGn2xRPb3yKpQK","906001152989","","2009","D","USD","3704095.6715"
"Mran6WbjN734AUQMdsx93P","906001152993","","2006","D","USD","8877562.84026"
"b54f4xAy5BXNdj3tgqEGoD","906001152995","","2010","D","USD","4191114.83655"
"kGnH6G44RcdN83kmq5uZ9K","906001152999","","2009","D","USD","3636748.86231"
"yQU4u4L2vhrEKWnEc52X44","906001153001","","2007","D","USD","7528500.75285"
"4YdmYuZ8xwxGUSKisb2N7m","906001153007","","2009","D","USD","1926129.74918"
"Dq8RaLm5duJgaLCuX9AR9H","906001153011","","2010","D","USD","4557837.38474"
"yThoGQxNFWC8RWaAdVx9J4","906001153013","","2008","D","USD","9217533.79762"
"Aj3ABrjLYwEjjCJyzb8g5f","906001153015","","2011","D","USD","4341391.21855"
"yA8J6f7g76ke9SZp8EviTN","906001153019","","2010","D","USD","10477787.0914"
"E4HchhJtw6pYQyrMRUTGf8","906001153021","","2009","D","USD","1825060.853"
"WeGCqvQDC8aLQSgKkHKbGS","906001153025","","2011","D","USD","5821410.95215"
"dUSAwaEKdN3s7eXaaFMzik","906001153027","","2010","D","USD","2171982.39732"
"oDXdwd7vdWVGui72dEvCdn","906001153029","","2009","D","USD","6138215.6842"
"uSi6jsNdJVq59gfJxsP3bg","906001153031","","2010","D","USD","8487007.54401"
"gduFYVgeXNBBrniKJEpyKH","906001153033","","2007","D","USD","6453000.6453"
"efuZyHDu6hZPt4oNvCF63g","906001153035","","2008","D","USD","4782875.87054"
"eE3Tq6dQAXgcoRCuLzzZyC","906001153037","","2010","D","USD","2116512.99246"
