Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
136,26556,,,,Y,,Kenikeni,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Sensanbligbini,Ghana,North-west,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Tankwidi,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Kamba,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Naaha,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Samoa-Pina,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town,Sonyo,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
136,,,,,N,I think this is a village/town (http://en.wikipedia.org/wiki/Larabanga),Larabanga,Ghana,,N,,,"Investments were made toward objective (Savanah, Wildlife Resource, Biodiversity Conservation, High Forest)"
142,96141,555511949,,,Y,,Xishuangbanna Nature Reserve  [Baka & Daka],China,,Y,,,
142,96145,,,,Y,,Gaoligongshan Nature Reserve,China,,N,,,
142,316337,,,,Y,,Baoshan Nature Reserve,China,,N,,,
192,5061,,,,Y,,Jigme Dorji National Park,Bhutan,,N,,,
195,6673,900715,,,Y,,Jaragua,Dominican Republic,,,,,
195,6674,,,,Y,,Montecristi,Dominican Republic,,,,,
195,478078,,,,Y,,Samana,Dominican Republic,,,,,
206,2223,68318,,,Y,,Bañados del Este Biosphere Reserve,Uruguay,,Y,,,
209,902673,10188,,,Y,,Ba Be National Park ASEAN Heritage Park,Vietnam,North,Y,Ba Be,,
209,7878,,,,Y,,Cuc Phuong National Park,Vietnam,,N,Cuc Phuong,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,10110,,,,Y,,Bach Ma National Park,Vietnam,,N,Bach Ma,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,10113,,,,Y,,Ba Vi  National Park,Vietnam,,N,,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,18033,,,,Y,,Yok Don,Vietnam,Central-west,N,,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,61935,,,,Y,,Tam Dao National Park,Vietnam,,N,Tam Dao,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,302848,,,,Y,,Na Hang,Vietnam,North,N,,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,317280,,,,Y,,Ben En National Park - Buffer Zone,Vietnam,,N,Ben En,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,478148,,,,Y,,Cat Tien UNESCO-MAB Biosphere Reserve,Vietnam,,N,Cat Tien,,Only broken down for the money provided by MARD to the PA's between 1999-2001
209,478277,,,,Y,,Cat Ba UNESCO-MAB Biosphere Reserve,Vietnam,,N,Cat Ba,,Only broken down for the money provided by MARD to the PA's between 1999-2001
216,13388,900592,555547507,,Y,,Palm Islands Nature Reserve,Lebanon,,Y,,,
216,61518,,,,Y,,Horsh Ehden Nature Reserve,Lebanon,,N,,,
216,902497,,,,Y,,Shouf UNESCO-MAB Biosphere Reserve,Lebanon,,N,El Shouf Cedar Nature Reserve,,
220,313046,,,,Y,,Mohéli Marine Park,Comoros,,N,,,
223,17286,901259,903138,,Y,,Socotra archipelago,Yemen,,Y,,,
243,14305,,,,Y,,Montes Azules Biosphere Reserve,Mexico,,,,,
243,71022,,,,Y,, Ria Lagartos Biosphere Reserve,Mexico,,,,,
