"","gef_id","wdpa_id","lat","lon"
"838","403","315513","",""
"839","403","","",""
"840","403","","",""
"841","403","","",""
"842","403","315541","",""
"843","403","","",""
"844","403","","",""
"845","403","","",""
"846","403","315553","-174.45","-19.78333"
"847","403","","",""
"848","403","","",""
"849","403","","",""
"850","403","315600","",""
"851","403","","",""
"852","403","","",""
"853","403","","",""
"854","403","316913","160","-9"
"855","403","","",""
"856","403","","",""
"857","403","","",""
"858","403","902511","134.477","7.534"
"859","403","","",""
"860","403","","",""
"861","403","","",""
"862","403","555547992","",""
"863","403","","",""
"864","403","","",""
"865","403","","",""
"866","406","40826","",""
"867","406","","",""
"868","406","","",""
"869","406","","",""
"870","406","","",""
"871","406","","",""
"872","406","","",""
"873","406","","",""
"874","406","","",""
"875","406","","",""
"876","406","","",""
"877","406","","",""
"878","406","","",""
"879","406","","",""
"880","406","","",""
"881","406","","",""
"882","406","","",""
"883","406","","",""
"884","406","","",""
"885","406","","",""
"886","407","33162","",""
"887","407","33331","35.4667","-15.1333"
"888","407","33327","35.3167","-15.3333"
"889","407","","",""
"890","407","4652","",""
"891","407","","",""
"892","407","","",""
"893","407","","",""
"894","407","","",""
"895","407","","",""
"896","407","","",""
"897","407","","",""
"898","407","","",""
"899","407","","",""
"900","407","","",""
"901","407","","",""
"902","407","","",""
"903","407","","",""
"904","407","","",""
"905","407","","",""
"906","407","","",""
"907","407","","",""
"908","407","","",""
"909","407","","",""
"910","407","","",""
"911","407","","",""
"912","407","","",""
"913","407","","",""
"914","408","597","",""
"915","408","","",""
"916","408","","",""
"917","408","","",""
"918","408","12201","",""
"919","408","","",""
"920","408","","",""
"921","408","","",""
"922","409","11686","",""
"923","409","17713","",""
"924","409","","",""
"925","409","","",""
"926","409","4114","",""
"927","409","555544281","",""
"928","409","","",""
"929","409","","",""
"930","409","31073","",""
"931","409","555544282","",""
"932","409","","",""
"933","409","","",""
"934","409","29969","",""
"935","409","","",""
"936","409","","",""
"937","409","","",""
"938","409","555542497","",""
"939","409","","",""
"940","409","","",""
"941","409","","",""
"942","409","555542497","",""
"943","409","","",""
"944","409","","",""
"945","409","","",""
"946","409","555544176","",""
"947","409","","",""
"948","409","","",""
"949","409","","",""
"950","409","555544196","",""
"951","409","","",""
"952","409","","",""
"953","409","","",""
"954","409","555544197","",""
"955","409","","",""
"956","409","","",""
"957","409","","",""
"958","409","555544227","",""
"959","409","","",""
"960","409","","",""
"961","409","","",""
"962","409","555544231","",""
"963","409","","",""
"964","409","","",""
"965","409","","",""
"966","409","555544232","",""
"967","409","","",""
"968","409","","",""
"969","409","","",""
"970","409","555544240","",""
"971","409","","",""
"972","409","","",""
"973","409","","",""
"974","409","555544299","",""
"975","409","","",""
"976","409","","",""
"977","409","","",""
"978","458","945","",""
"979","458","","",""
"980","458","","",""
"981","458","","",""
"982","458","15585","",""
"983","458","","",""
"984","458","","",""
"985","458","","",""
"986","458","17539","",""
"987","458","","",""
"988","458","","",""
"989","458","","",""
"990","458","555549444","",""
"991","458","","",""
"992","458","","",""
"993","458","","",""
"994","466","12494","",""
"995","466","","",""
"996","466","","",""
"997","466","","",""
"998","466","107388","",""
"999","466","","",""
"1000","466","","",""
"1001","466","","",""
"1002","488","313205","",""
"1003","488","313211","",""
"1004","488","","",""
"1005","488","","",""
"1006","488","1666","",""
"1007","488","","",""
"1008","488","","",""
"1009","488","","",""
"1010","490","40002","",""
"1011","490","","",""
"1012","490","","",""
"1013","490","","",""
"1014","495","15602","",""
"1015","495","","",""
"1016","495","","",""
"1017","495","","",""
"1018","495","67867","",""
"1019","495","","",""
"1020","495","","",""
"1021","495","","",""
"1022","496","12225","",""
"1023","496","","",""
"1024","496","","",""
"1025","496","","",""
"1026","496","20226","",""
"1027","496","","",""
"1028","496","","",""
"1029","496","","",""
"1030","496","28850","",""
"1031","496","","",""
"1032","496","","",""
"1033","496","","",""
"1034","496","306780","",""
"1035","496","","",""
"1036","496","","",""
"1037","496","","",""
"1038","499","12225","",""
"1039","499","","",""
"1040","499","","",""
"1041","499","","",""
"1042","499","34313","",""
"1043","499","","",""
"1044","499","","",""
"1045","499","","",""
"1046","499","99656","",""
"1047","499","","",""
"1048","499","","",""
"1049","499","","",""
"1050","499","301908","",""
"1051","499","","",""
"1052","499","","",""
"1053","499","","",""
"1054","499","301911","",""
"1055","499","","",""
"1056","499","","",""
"1057","499","","",""
"1058","499","301992","",""
"1059","499","","",""
"1060","499","","",""
"1061","499","","",""
"1062","503","21003","",""
"1063","503","","",""
"1064","503","","",""
"1065","503","","",""
"1066","503","61554","-62","-20.5"
"1067","503","","",""
"1068","503","","",""
"1069","503","","",""
"1070","503","61556","",""
"1071","503","","",""
"1072","503","","",""
"1073","503","","",""
"1074","503","317128","",""
"1075","503","","",""
"1076","503","","",""
"1077","503","","",""
"1078","503","","",""
"1079","503","","",""
"1080","503","","",""
"1081","503","","",""
"1082","503","","",""
"1083","503","","",""
"1084","503","","",""
"1085","503","","",""
"1086","503","","",""
"1087","503","","",""
"1088","503","","",""
"1089","503","","",""
"1090","503","","",""
"1091","503","","",""
"1092","503","","",""
"1093","503","","",""
"1094","505","836","",""
"1095","505","","",""
"1096","505","","",""
"1097","505","","",""
"1098","512","1660","",""
"1099","512","555549413","",""
"1100","512","","",""
"1101","512","","",""
"1102","512","313053","",""
"1103","512","555549416","",""
"1104","512","","",""
"1105","512","","",""
"1106","512","198475","",""
"1107","512","","",""
"1108","512","","",""
"1109","512","","",""
"1110","512","313048","",""
"1111","512","","",""
"1112","512","","",""
"1113","512","","",""
"1114","534","902398","34.783333","12.316667"
"1115","534","2336","",""
"1116","534","2106","35.49","12.29"
"1117","534","","",""
"1118","536","722","",""
"1119","536","","",""
"1120","536","","",""
"1121","536","","",""
"1122","536","7409","",""
"1123","536","","",""
"1124","536","","",""
"1125","536","","",""
"1126","536","","",""
"1127","536","","",""
"1128","536","","",""
"1129","536","","",""
"1130","536","","",""
"1131","536","","",""
"1132","536","","",""
"1133","536","","",""
"1134","537","2008","",""
"1135","537","61522","23.583333","52.5"
"1136","537","","",""
"1137","537","","",""
"1138","539","2094","23.65","52.76"
"1139","539","2008","",""
"1140","539","","",""
"1141","539","","",""
"1142","541","18437","",""
"1143","541","61609","",""
"1144","541","","",""
"1145","541","","",""
"1146","541","40002","",""
"1147","541","315238","",""
"1148","541","","",""
"1149","541","","",""
"1150","541","28175","",""
"1151","541","902529","",""
"1152","541","","",""
"1153","541","","",""
"1154","541","9043","",""
"1155","541","","",""
"1156","541","","",""
"1157","541","","",""
"1158","541","19297","",""
"1159","541","","",""
"1160","541","","",""
"1161","541","","",""
"1162","541","40042","",""
"1163","541","","",""
"1164","541","","",""
"1165","541","","",""
"1166","541","220271","38.7","-4.85"
"1167","541","","",""
"1168","541","","",""
"1169","541","","",""
"1170","541","303351","",""
"1171","541","","",""
"1172","541","","",""
"1173","541","","",""
"1174","541","350036","",""
"1175","541","","",""
"1176","541","","",""
"1177","541","","",""
"1178","541","","",""
"1179","541","","",""
"1180","541","","",""
"1181","541","","",""
"1182","541","","",""
"1183","541","","",""
"1184","541","","",""
"1185","541","","",""
"1186","541","","",""
"1187","541","","",""
"1188","541","","",""
"1189","541","","",""
"1190","543","67754","23","49"
"1191","543","220033","",""
"1192","543","","",""
"1193","543","","",""
"1194","566","142700","",""
"1195","566","344546","",""
"1196","566","","",""
"1197","566","","",""
"1198","566","645","",""
"1199","566","","",""
"1200","566","","",""
"1201","566","","",""
"1202","566","26059","",""
"1203","566","","",""
"1204","566","","",""
"1205","566","","",""
"1206","567","67750","22.333333","49.05"
"1207","567","903141","",""
"1208","567","903142","",""
"1209","567","","",""
"1210","567","148026","",""
"1211","567","173006","",""
"1212","567","","",""
"1213","567","","",""
"1214","591","168258","",""
"1215","591","","",""
"1216","591","","",""
"1217","591","","",""
"1218","591","168267","",""
"1219","591","","",""
"1220","591","","",""
"1221","591","","",""
"1222","591","302614","",""
"1223","591","","",""
"1224","591","","",""
"1225","591","","",""
"1226","591","302631","",""
"1227","591","","",""
"1228","591","","",""
"1229","591","","",""
"1230","591","302631","",""
"1231","591","","",""
"1232","591","","",""
"1233","591","","",""
"1234","592","313424","",""
"1235","592","","",""
"1236","592","","",""
"1237","592","","",""
"1238","600","","",""
"1239","600","","",""
"1240","600","","",""
"1241","600","","",""
"1242","601","187","",""
"1243","601","","",""
"1244","601","","",""
"1245","601","","",""
"1246","601","11753","",""
