"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"1493",2967.9094238281,738.3161621094,7.8525564804,0.2490124106,51.6009389671,883.9702758789,0,5.2990019447,25.04082,-77.37122,NA,NA,NA,NA,NA,NA,32.4811529933,968.583557129,1,313.599183471547,NA,NA,NA,NA,12.659949625198,5688,"UNEP-GEF Project for Sustainable Capacity Building for Effective Participation in the Biosafety Clearing House (BCH)"
"1671",2163.3801269531,1123.2932128906,50.7114130435,0.2253803015,97.0966386555,112.7964553833,0,0,33,44,41.825,0,9.9270833333,35.925,9.925,23.6708333333,2.7157464213,1182.1340332,1,314.159265358979,0.105106587303484,0.105106587303484,2988.95885994165,0.105106587303484,12.659949625198,5392,"Initial Steps for the Establishment of the National Protected Areas Network"
"1672",2425.6948242188,546.4281616211,113.6444201313,0.7503083944,251.0588235294,29.6337413788,0,0,32.3824163085,47.3673706055,43.3,0,13.2916666667,36.3,9.6,24.45,14.8556701031,1160.70996094,1,314.159265358979,0.12943651890437,0.12943651890437,2427.13005586225,0.12943651890437,12.659949625198,5392,"Initial Steps for the Establishment of the National Protected Areas Network"
"1694",2210.794921875,7084.626953125,17.5420918367,0.1617159694,257.2403846154,25.1496982574,0,38.0808529114,9,-74.33333,238.4,0,126.9166666667,30.35,28.85,29.6708333333,0.1918465228,4460.75585938,1,313.864490034013,0.744472012812801,0.744472012812801,421.593403959075,0.744472012812801,-10.0444758689726,5288,"Implementing the Socio-Ecosystem Connectivity Approach to Conserve and Sustainable Use Biodiversity in the Caribbean Region of Colombia"
"1698",1582.0988769531,1339.2386474609,30.6454081633,0.2321343273,130.6538461538,22.4524078369,0,24.9086861515,9,-75,196.9,4.85,92.3708333333,29.325,27.95,28.6041666667,1.8225419664,3950.70092773,1,312.950709863392,0.705890674506572,0.705890674506572,443.341612470159,0.705890674506572,-10.0444758689726,5288,"Implementing the Socio-Ecosystem Connectivity Approach to Conserve and Sustainable Use Biodiversity in the Caribbean Region of Colombia"
"1727",2060.2231445313,7866.927734375,256.4089569829,1.9815818071,667.0917225951,21.2950572968,0,77.5044262236,23.92764,94.71738,387.2,0,147.7375,28.8,18.5,24.8875,0,4049.89697266,1,312.864988882622,0.338534198391685,0.338534198391685,924.17543151914,0.338534198391685,-10.0444758689726,5159,"Strengthening Sustainability of Protected Area Management "
"1743",4095.4716796875,1268.4812011719,467.1508515815,0.4683832824,212.126146789,164.9273681641,0,0.0260913855,19.5,76,232.8,0,58.36875,33.5,20.775,26.6958333333,5.7762237762,2159.75537109,1,314.158541319538,0.0929217517683726,0.0929217517683726,3380.8934435787,0.0929217517683726,12.659949625198,5137,"Mainstreaming Agrobiodiversity Conservation and Utilization in Agricultural Sector to Ensure Ecosystem Services and Reduce Vulnerability"
"1746",1549.4117431641,3845.1430664063,827.7107142857,13.8887777328,266.3646788991,28.7399482727,0,68.9189419257,23,93,668,5.125,247.6916666667,23.05,16.65,20.85625,0.2863534676,4258.82910156,1,310.23768678736,0.799697712759641,0.799697712759641,387.943696520995,0.799697712759641,-10.0444758689726,5137,"Mainstreaming Agrobiodiversity Conservation and Utilization in Agricultural Sector to Ensure Ecosystem Services and Reduce Vulnerability"
"1756",1677.3660888672,7877.849609375,172.3906649616,2.3151247501,208.6497584541,18.8257675171,0,66.8689304334,-5.11025,-45.06894,369.25,3.6,99.6916666667,28.25,25.6,26.6791666667,0,3915.74511719,1,299.302796909452,0.642689939168244,0.642689939168244,465.703255440412,0.642689939168244,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1758",2140.2692871094,2133.2666015625,112.1393861893,1.3044297695,120.6189320388,13.1326904297,0,60.9665597734,-4.74767,-44.25167,375.3,0.7,103.6333333333,27.6,25.5,26.5083333333,0.6610576923,4226.34375,1,308.006054216114,0.702123350961179,0.702123350961179,438.677981289849,0.702123350961179,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
