"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","years_since_implementation","treatment","ndvi_pre_post_diff","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"95",1836.79769468951,4057.74256148227,624.726208513208,3.08985835254143,149.776492707936,53.836149910421,0,4.28577596182,35.871471,9.309188,91.8500419619608,12.6593917149637,37.6984862810693,26.5142212921549,6.45406922089579,16.5573265185996,2.86069640034,1681.99768658,2,1,206.499344413,0.0664937685405082,0.0664937685405082,3105.54430806851,0.0664937685405082,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"96",2060.88870936449,8337.29676850029,473.136700366228,1.77886895588994,204.782889041926,53.8584115877664,0,0.414395585369,36.071543,9.065458,103.7,12.9,40.275,28.8,8.8,18.9333333333333,2.19932489837,1374.29343023,2,1,112.265112235,0.0919543732518998,0.0919543732518998,1220.87844508995,0.0919543732518998,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"97",1628.2762228318,3628.51990972841,270.484779423234,2.10309831947404,166.775131119429,54.9279560279001,0,1.48264285266,36.253648,9.371308,97.1,12.3,38.05,28.5,8.73333333333333,18.7666666666667,1.6106378017,1405.51021627,2,1,162.649906115,0.0859458578709088,0.0859458578709088,1892.46940043697,0.0859458578709088,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"98",3350.66291253037,3478.81550378766,782.051655798591,3.1510103981236,176.154584112341,57.5007285113163,0,5.77251022899,35.685797,9.294638,84,12.5,35.9916666666667,25,4.9,14.9833333333333,1.75678085104,1473.94219772,2,1,98.3188988291,0.0574281479707621,0.0574281479707621,1712.03325030012,0.0574281479707621,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"101",1784.15580415079,2825.93106327813,379.261783745863,2.74856521288269,123.840856604849,59.7515057076762,0,2.79428697409,36.228333,9.230168,103.7,12.9,40.275,28.8,8.8,18.9333333333333,2.17414932896,1418.22045829,2,1,164.91636026,0.0971778999657427,0.0971778999657427,1697.05622696247,0.0971778999657427,546.679041224495,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"149",2533.06714309991,4261.11859274239,1801.06846452365,7.92649355718551,259.871845068098,172.392348022756,128.880004883,0.0132488988472,34.553794,46.976168,101.554545411135,0,32.0954544931927,24.4454545583853,-0.46363634516385,12.0500000143932,5.08039343974,1738.47723671,3,1,123.324875175,0.0856028507660236,0.0856028507660236,1440.66317968874,0.0856028507660236,546.679041224495,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"220",2600.1619834528,1497.54527691439,1463.77074374188,3.52653685584412,17.3947284188355,177.800598144531,0,0.0090770525339,34.205211,46.975168,108.66666662764,0,31.5876983751076,27.4333333510728,3.22857143313301,15.4126984238912,31.7324604569822,1599.52332507,3,1,61.9782692809,0.0913997956312483,0.0913997956312483,678.100742489084,0.0913997956312483,546.679041224495,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"251",2391.55474323408,2969.17700892603,435.12302896892,2.06888616784381,192.183965492078,129.648059994579,230.610015869,23.6864539448,22.296905,78.001564,605.7,0,118.825,31.7,16.3,23.25,0,3357.96720561,3,1,-374.558442625,0.21689400869213,0.21689400869213,-1726.91926754264,0.21689400869213,-577.03976185988,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"253",1689.04693848773,2658.23736130303,526.717917122765,4.8487125537258,192.039192399578,77.691622749993,241.88999939,31.9250578231,22.386117,78.120623,568.181518575495,0,107.323323690963,33.1368780120023,17.4175717871129,24.6369864143633,0,3563.20558382,3,1,-369.277952223,0.221452894089741,0.221452894089741,-1667.5237130717,0.221452894089741,-577.03976185988,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"254",3105.79875478334,4273.07704385754,467.803445600293,1.24862779480921,171.067729453128,138.516025323982,264.869995117,14.9630459079,21.573987,79.213493,404.9,0,87.7166666666667,34.4,19.3,26.1166666666667,1.11018923992574,3075.05521977,3,1,-395.195558536,0.31746546304115,0.31746546304115,-1244.84583220561,0.31746546304115,-577.03976185988,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"255",4075.0856189503,3029.90693823697,482.072813980539,0.80517071304347,204.797094831409,122.920610968719,191.109985352,13.3173008787,23.508049,80.863925,410.500000165569,0,72.9861111333019,35.4777777782377,17.2222222217623,25.8814814811749,0.000865472878643468,3209.59840653,3,1,-358.750094497,0.222466466339986,0.222466466339986,-1612.60301563265,0.222466466339986,-577.03976185988,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
