"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"4951","ltdr_yearly_ndvi_mean.2002.mean",11,11,0.0882087083832148,0.0313555357685763,3.90948484891109e-08,4,5
"9902","<leaf>",5,5,0.0480762781435672,0.0445766816830107,0,0,0
"9903","dist_to_roads.na.mean",6,6,0.0190105847203252,0.018176273308623,1.54113831247335e-08,4,5
"19806","<leaf>",3,3,0.0102748861151009,0.0259192219008,0,0,0
"19807","<leaf>",3,3,0.000409362369636166,0.00455170250278,0,0,0
"619","<leaf>",3,3,21.1815356474018,0.541047966237497,0,0,0
"155","srtm_slope_500m.na.mean",47,47,731.256729441891,0.730792099314709,0.000244592642985466,4,5
"310","srtm_elevation_500m.na.mean",44,44,142.315791229227,0.413597466037365,7.30772660967257e-05,4,5
"620","udel_precip_v4_01_yearly_mean.2002.mean",27,27,15.702894964648,-0.0707874410667187,1.05538501451359e-05,4,2
"1240","<leaf>",2,2,8.9783305951652,-1.134614913735,0,0,0
"1241","accessibility_map.na.mean",25,25,1.02261638874745,0.0352441553874739,7.68960914351865e-07,4,0
"2482","dist_to_all_rivers.na.mean",23,23,0.174853620546036,-0.00498381230022618,6.33866383271534e-08,4,5
"4964","ltdr_yearly_ndvi_mean.2002.mean",11,11,0.10762231737653,-0.0328655728900829,4.278221560423e-08,4,5
"9928","<leaf>",8,8,0.0397064057096507,-0.0048727815344543,0,0,0
"9929","<leaf>",3,3,0.0448018855511734,-0.130629053282145,0,0,0
"4965","accessibility_map.na.mean",12,12,0.032985287786988,0.0286104085023147,3.56433131410768e-08,4,3
"9930","<leaf>",9,9,2.53946803085476e-05,-0.000995960593784509,2.50037709947686e-11,0,0
"9931","<leaf>",3,3,0.0137028149222646,0.0560037967085736,0,0,0
"2483","<leaf>",2,2,0.432314844215699,0.22050199002828,0,0,0
"621","srtm_slope_500m.na.mean",17,17,87.1313076378995,0.678588591484415,6.25807361496566e-05,4,5
"1242","srtm_slope_500m.na.mean",6,6,1.75772328746947,-0.128035868132197,1.54040156318929e-06,4,5
"2484","<leaf>",2,2,0.774539010286895,-0.86851928041358,0,0,0
"2485","<leaf>",4,4,0.150948698511145,0.178368701809486,0,0,0
"1243","<leaf>",11,11,51.5629752159123,1.04043064125072,0,0,0
"311","<leaf>",3,3,381.958444897759,2.6390458437376,0,0,0
"39","udel_air_temp_v4_01_yearly_mean.2002.mean",88,88,4196.79895887924,1.71398574038591,0.00130736340569188,4,2
"78","latitude",82,82,1835.90637635534,0.9452966715722,0.000733107371326945,4,5
"156","srtm_slope_500m.na.mean",64,64,130.274075747394,0.030495189922674,5.97378982124651e-05,4,0
"312","ltdr_yearly_ndvi_mean.2002.mean",62,62,80.3119844006145,-0.118342497409504,5.97378982124651e-05,4,0
"624","ltdr_yearly_ndvi_mean.2002.mean",60,60,1.01965115474006,-0.00346071354948327,3.58101915085091e-07,4,1
"1248","latitude",57,57,0.632090474124396,-0.0182193451128265,3.58101915085091e-07,4,0
"2496","<leaf>",4,4,0.370480602102944,-0.290285595988863,0,0,0
"2497","treecover2000.na.mean",53,53,0.0242043513736649,-0.00495944969896113,1.51644036643881e-08,4,5
"4994","<leaf>",44,44,0.000787506832205291,-0.000967219605036268,5.37090877435384e-10,0,0
"4995","<leaf>",9,9,0.0152239443520378,-0.0249065709286176,9.33818282693444e-09,0,0
"1249","<leaf>",3,3,0.238021443940368,0.153385582024149,0,0,0
"625","<leaf>",2,2,40.4337382628857,-6.83122512423088,0,0,0
"313","<leaf>",2,2,24.271278596719,1.79267038418,0,0,0
"157","dist_to_roads.na.mean",18,18,1309.5550360917,1.79729224802233,0.000624141654677696,4,5
"314","<leaf>",7,7,908.98903412739,3.48198704324526,0,0,0
"315","udel_precip_v4_01_yearly_mean.2002.mean",11,11,63.3598450981804,0.565171295353983,1.77471903329149e-05,4,5
"630","dist_to_roads.na.mean",5,5,34.3118298546419,1.58510623830938,2.28303811683538e-06,4,5
"1260","<leaf>",3,3,8.93581840468149,2.19193310326196,0,0,0
"1261","<leaf>",2,2,24.1425502579582,1.2151132277695,0,0,0
"631","dist_to_all_rivers.na.mean",6,6,19.4597081621528,0.0547187096473604,4.28674488168057e-06,4,5
"1262","<leaf>",4,4,10.3773580682723,-0.225117808809612,0,0,0
"1263","<leaf>",2,2,6.76634257189659,0.90381649084,0,0,0
"79","dist_to_all_rivers.na.mean",6,6,1262.41656540303,9.6664846608099,0.000505267036083381,4,2
"158","<leaf>",2,2,71.0906743599839,4.770002628559,0,0,0
"159","<leaf>",4,4,918.344342460458,11.3645584350625,0,0,0
"5","<leaf>",19,19,139601.575713815,9.84202142345673,0,0,0
"3","<leaf>",3,3,74084.0158059578,66.2657678622565,0,0,0
