"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","GEF.Project.Grant.CEO.endorse.stage","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"413",2887.3833007813,2739.7805175781,476.6731793961,1.1135123968,130.4521158129,120.9466247559,0,3.2717237202,23.5287669,80.83054,448.6,0.45,81.2583333333,34.75,16.65,25.2125,2.6150341686,2943.21704102,1.1747092841,5763000,1,3,0.450407747168751,0.450407747168751,6.66063143642157,0.450407747168751,2.87617998212688,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"414",2372.9313964844,2616.3413085938,574.4130952381,1.0252149105,137.6743119266,164.6140136719,0,1.0480887461,23.5000269,78.5,466.15,0.375,74.3625,35.55,18.375,26.7875,0,2309.15380859,1.1715586155,5763000,1,3,0.601367985770105,0.601367985770105,4.98862605091662,0.601367985770105,2.87617998212688,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"415",2442.4318847656,2526.1196289063,622.3687350835,1.3192310333,64.7935779817,148.5809173584,0,1.039486411,21.8333542,77.83333,379.6,0,74.525,32.9,18.3,24.8833333333,4.5794183445,2453.51098633,0.90710732626,5763000,1,3,0.788801919013091,0.788801919013091,3.80323618349389,0.788801919013091,2.87617998212688,3472,"SLEM/CPP: Integrated Land Use Management to Combat Land Degradation in Madja Pradesh"
"417",NA,NA,158.9428571429,8.0675458908,280.3684210526,214.8307952881,0,3.3039678195,13.0000126,122,NA,NA,NA,NA,NA,NA,0,1039.62841797,1.1016424461,11218182,1,0,NA,NA,NA,NA,-2.17123630566007,3589,"CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative"
"419",NA,NA,NA,NA,NA,NA,0,0,-16.000016,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1.75197402135,13118183,1,1,NA,NA,NA,NA,-2.17123630566007,3591,"PAS: Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific - under the Pacific Alliance for Sustainability Program"
"426",NA,NA,4.8222222222,0.0833049566,3683.4444444445,1012.75,0,0,7.11300659,171.236,NA,NA,NA,NA,NA,NA,1.7566909976,585.999023438,4.33940553914,5454545,1,3,NA,NA,NA,NA,-2.17123630566007,3626,"PAS: The Micronesia Challenge :  Sustainable Finance Systems for Island Protected Area Management - under the GEF Pacific Alliance for Sustainability"
"427",1397323.625,3605.5512695313,8.5434782609,0.1497221738,3125.8823529412,880.2933349609,0,0,1.42100129,172.984,NA,NA,NA,NA,NA,NA,0.9632352941,653.55291748,10.2845582883,3031818,1,3,NA,NA,NA,NA,-2.17123630566007,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"429",NA,NA,4.8222222222,0.0833049566,3683.4444444445,1012.75,0,0,7.11300659,171.236,NA,NA,NA,NA,NA,NA,1.7566909976,585.999023438,4.33940553914,3031818,1,3,NA,NA,NA,NA,-2.17123630566007,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"433",NA,NA,NA,NA,NA,NA,0,0,-16.000016,167,NA,NA,NA,NA,NA,NA,0,841.916931152,1.75197402135,3031818,1,1,NA,NA,NA,NA,-2.17123630566007,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"435",15198538,672.4438476563,113.6609195402,5.9262189865,2054.2441860465,185.6255950928,0,0,-21.248443,-159.78516,353.5,73.5,164.5666666667,27.4,22,24.6666666667,3.013667426,958.58581543,0.0157939248814,3031818,1,3,0.897625863514753,0.897625863514753,3.34214968834919,0.897625863514753,-2.17123630566007,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"436",NA,NA,NA,NA,NA,NA,0,0,-20.000021,-175,NA,NA,NA,NA,NA,NA,0,493.287780762,1.51185269572,3031818,1,3,NA,NA,NA,NA,-2.17123630566007,3664,"PAS: Prevention, Control and Management of Invasive Alien Species in the Pacific Islands"
"437",1298.6293945313,1210.5543212891,-0.0353107345,0.0716796145,157.2452830189,390.2326660156,0,1.206878241,33.5961598,120.56549,187.7,3.6,73.175,27,3.6,15.2416666667,0.512244898,926.610534668,1.73005914942,2250000,1,1,0.994291162384244,0.994291162384244,1.00574161556668,0.994291162384244,-2.17123630566007,3670,"CBPF: Jiangsu Yancheng Wetlands System Protection "
"447",362869.5,796.3404541016,27.5211581292,0.7873980999,523.1512605042,65.5300140381,0,0,16.700017,-23,NA,NA,NA,NA,NA,NA,2.6386946387,465.550292969,10.0061112327,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"448",341025.0625,1680.6229248047,69.103985056,1.7202832699,461.7677725118,6.4872031212,0,0.0015545343,16.0833462,-22.83333,NA,NA,NA,NA,NA,NA,0.6876456876,710.92388916,10.3334560045,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"450",363305.75,771.7670288086,36.5667311412,1.3275897503,553.1925925926,65.5300140381,0,0,16.8000171,-23,NA,NA,NA,NA,NA,NA,2.0815850816,469.699157715,9.93641102312,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
"451",360660.9375,700.4442138672,18.4657534247,0.7068936825,506.6440677966,65.5300064087,0,0,16.5833468,-22.93333,NA,NA,NA,NA,NA,NA,2.6736596737,394.650054932,10.0409320612,3100000,1,3,NA,NA,NA,NA,-2.17123630566007,3752,"SPWA-BD: Consolidation of Cape Verde's Protected Areas System"
